,name,lat,lng
0,Babelgum,53.344104,-6.267494
1,Tioti,51.524323,-0.081169
2,blinkbox,51.520779,-0.10759
3,WorldTV,51.5001524,-0.1262362
4,idiomag,51.500152,-0.126236
5,Playfish,51.4991094,-0.1984802
6,Pikum,51.539778,-0.152998
7,Vigster,51.500152,-0.126236
8,Mixcloud,51.5399105,-0.2859795
9,Illumina Digital,51.503612,-0.25628
10,BeatPick,51.5001524,-0.1262362
11,CareerPlayer,51.5001524,-0.1262362
12,Wazoo Sports,37.1286,-84.0834
13,Kramaley Games,51.4944999,-0.1479318
14,Filmed Media,51.5359008,-0.2055081
15,Spoonfed,51.7577453,-1.2186724
16,Swiffen,51.5163382,-0.0828173
17,Owngig,39.39615,22.76303
18,Bandstocks,51.5142132,-0.1261853
19,Keen Software House,51.5220763,-0.1153003
